"ExperimentID","SiteID","PondID","StrainID","Date","pH","Temp.avg (C)","Temp.max (C)","Temp.min (C)","Cond (mS.cm)","DO (mg.L)","DO (%sat)","Sal (g.L)","PAR (umol.m2.s)"
"JUN172015","ASU","P6","C046","07-27-2015",7.47,22.96,27.9,20.9,16564.62,3.16,42.35,11.12,675.97
"SEP102014","CELL","P1","KA32","09-11-2014",7.84,26.71,30.89,24.48,54055.87,6.72,103.04,35.69,
"SEP102014","CELL","P2","KA32","09-11-2014",7.81,26.87,30.94,24.53,54692.23,7.05,108.66,36.16,
"SEP102014","CELL","P3","KA32","09-11-2014",7.86,27.1,31.03,24.59,53836.7,6.59,101.67,35.52,102.54
"SEP102014","CELL","P4","KA32","09-11-2014",7.36,28.3,32.48,25.64,55510.51,6.68,105.81,36.73,
"SEP102014","CELL","P5","KA32","09-11-2014",7.87,27.7,32.28,24.85,53287.97,6.87,106.8,35.09,
"SEP102014","CELL","P6","KA32","09-11-2014",7.88,27.37,31.92,24.77,55075.83,6.5,101.3,36.43,
"SEP102014","CELL","P1","KA32","09-12-2014",7.82,26.44,32.44,22.23,55352.5,7.65,118.2,36.65,
"SEP102014","CELL","P2","KA32","09-12-2014",7.81,26.49,32.54,22.16,55262.08,8.15,126.02,36.58,
"SEP102014","CELL","P3","KA32","09-12-2014",7.83,26.46,32.43,22.07,54941.82,7.51,115.81,36.35,591.99
"SEP102014","CELL","P4","KA32","09-12-2014",7.83,27.81,33.97,23.14,55952.79,7.64,120.96,37.06,
"SEP102014","CELL","P5","KA32","09-12-2014",7.84,27.04,33.3,22.35,54809.12,8.13,126.42,36.23,
"SEP102014","CELL","P6","KA32","09-12-2014",7.85,26.81,33.19,22.4,54589.73,7.49,115.91,36.08,
"SEP102014","CELL","P1","KA32","09-13-2014",7.72,26.12,31.52,22.37,57227.26,7.48,116.5,38.07,
"SEP102014","CELL","P2","KA32","09-13-2014",7.72,26.16,31.6,22.38,56903.95,7.94,123.59,37.83,
"SEP102014","CELL","P3","KA32","09-13-2014",7.74,26.12,31.42,22.35,56843.57,7.35,114.16,37.78,461.82
"SEP102014","CELL","P4","KA32","09-13-2014",7.73,27.45,33.07,23.42,57519.18,7.47,118.93,38.25,
"SEP102014","CELL","P5","KA32","09-13-2014",7.75,26.77,31.93,22.57,56777.04,7.91,124,37.71,
"SEP102014","CELL","P6","KA32","09-13-2014",7.76,26.7,31.81,22.67,56016.04,7.28,113.37,37.15,
"SEP102014","CELL","P1","KA32","09-14-2014",7.71,27.66,34.07,22.92,59150.65,7.63,123.05,39.47,
"SEP102014","CELL","P2","KA32","09-14-2014",7.71,27.66,34.15,22.9,58755.45,8.27,133.32,39.17,
"SEP102014","CELL","P3","KA32","09-14-2014",7.74,27.46,33.88,22.81,58682.45,7.59,121.65,39.12,598.79
"SEP102014","CELL","P4","KA32","09-14-2014",7.74,29.21,36.24,23.93,59411.35,7.77,128.43,39.61,
"SEP102014","CELL","P5","KA32","09-14-2014",7.77,28.02,34.62,23.03,58502.93,8.28,133.7,38.97,
"SEP102014","CELL","P6","KA32","09-14-2014",7.77,27.78,34.2,23.04,57327.46,7.62,121.53,38.1,
"SEP102014","CELL","P1","KA32","09-15-2014",7.74,27.48,33,23.16,55481.84,7.88,123.98,36.74,
"SEP102014","CELL","P2","KA32","09-15-2014",7.76,27.46,33.03,23.15,55346.34,8.08,126.9,36.64,
"SEP102014","CELL","P3","KA32","09-15-2014",7.8,27.22,32.69,23.09,55077.73,7.72,120.56,36.45,532.78
"SEP102014","CELL","P4","KA32","09-15-2014",7.72,28.81,34.97,24.12,55737.24,7.83,126.05,36.93,
"SEP102014","CELL","P5","KA32","09-15-2014",7.8,27.56,33.45,23.23,55233.02,7.78,122.29,36.59,
"SEP102014","CELL","P6","KA32","09-15-2014",7.8,27.34,32.83,23.37,58361.17,7.35,117,38.89,
"SEP102014","CELL","P1","KA32","09-16-2014",7.74,27.39,33.28,24.09,55399.88,8.09,127.56,36.67,
"SEP102014","CELL","P2","KA32","09-16-2014",7.79,27.4,33.35,24.05,54882.86,8.33,131.13,36.28,
"SEP102014","CELL","P3","KA32","09-16-2014",7.83,27.33,33.25,23.89,54669.18,8.12,127.34,36.12,585.98
"SEP102014","CELL","P4","KA32","09-16-2014",7.82,28.8,34.92,24.93,55448.44,8.05,129.78,36.66,
"SEP102014","CELL","P5","KA32","09-16-2014",7.84,28.03,33.79,23.89,55659.46,7.97,126.82,36.84,
"SEP102014","CELL","P6","KA32","09-16-2014",7.84,27.78,33.86,23.96,57733.73,7.64,122.38,38.4,
"SEP102014","CELL","P1","KA32","09-17-2014",7.83,27.11,33.68,22.51,54916.66,8.14,127.58,36.31,
"SEP102014","CELL","P2","KA32","09-17-2014",7.82,27.12,33.7,22.52,54455.63,8.29,129.71,35.97,
"SEP102014","CELL","P3","KA32","09-17-2014",7.85,27.03,33.53,22.47,54191.99,8.1,126.21,35.77,582.84
"SEP102014","CELL","P4","KA32","09-17-2014",7.84,28.53,35.73,23.7,55079.5,7.89,126.41,36.39,
"SEP102014","CELL","P5","KA32","09-17-2014",7.86,27.53,34.24,22.83,54692.46,7.91,124.42,36.13,
"SEP102014","CELL","P6","KA32","09-17-2014",7.86,27.31,33.89,22.83,57015.78,7.72,122.42,37.87,
"SEP102014","CELL","P1","KA32","09-18-2014",7.85,27.51,33.25,23.57,54381.65,8.04,126.32,35.9,
"SEP102014","CELL","P2","KA32","09-18-2014",7.83,27.48,33.25,23.55,53617.3,8.33,130.34,35.33,
"SEP102014","CELL","P3","KA32","09-18-2014",7.86,27.28,32.95,23.45,53578.06,8,124.61,35.31,590.52
"SEP102014","CELL","P4","KA32","09-18-2014",7.81,28.84,35.07,24.47,54363.4,7.83,125.55,35.84,
"SEP102014","CELL","P5","KA32","09-18-2014",7.87,27.74,33.69,23.6,53981.75,7.81,122.74,35.6,
"SEP102014","CELL","P6","KA32","09-18-2014",7.86,27.56,33.27,23.65,55861.91,7.51,118.79,37,
"SEP102014","CELL","P1","KA32","09-19-2014",7.86,27.54,33.73,22.66,55294.11,7.91,124.82,36.58,
"SEP102014","CELL","P2","KA32","09-19-2014",7.85,27.44,33.75,22.54,54725.46,8.2,128.84,36.15,
"SEP102014","CELL","P3","KA32","09-19-2014",7.87,27.25,33.48,22.42,54866.76,7.83,122.69,36.26,581.45
"SEP102014","CELL","P4","KA32","09-19-2014",7.8,28.92,35.69,23.53,55580.9,7.69,124.02,36.74,
"SEP102014","CELL","P5","KA32","09-19-2014",7.87,27.8,34.24,22.59,55323.29,7.66,121.33,36.59,
"SEP102014","CELL","P6","KA32","09-19-2014",7.87,27.7,33.84,22.78,56442.12,7.55,120,37.43,
"SEP102014","CELL","P1","KA32","09-20-2014",7.88,28.14,33.54,24.04,56660.85,7.8,124.74,37.59,
"SEP102014","CELL","P2","KA32","09-20-2014",7.87,28.11,33.58,23.97,56188.38,8.06,128.63,37.23,
"SEP102014","CELL","P3","KA32","09-20-2014",7.88,28,33.49,23.91,56339.97,7.61,121.19,37.35,529.6
"SEP102014","CELL","P4","KA32","09-20-2014",7.9,29.67,35.46,25.3,57035.76,7.63,125.15,37.82,
"SEP102014","CELL","P5","KA32","09-20-2014",7.89,28.69,34.49,24.37,56818.13,7.52,121.4,37.68,
"SEP102014","CELL","P6","KA32","09-20-2014",7.89,28.64,34.27,24.55,57707.64,7.64,123.8,38.36,
"SEP102014","CELL","P1","KA32","09-21-2014",7.89,28.62,33.83,24.73,58549.01,7.64,124.13,38.99,
"SEP102014","CELL","P2","KA32","09-21-2014",7.88,28.64,33.88,24.75,57889.89,7.81,126.63,38.49,
"SEP102014","CELL","P3","KA32","09-21-2014",7.89,28.51,33.86,24.6,58218.59,7.4,119.9,38.75,543.03
"SEP102014","CELL","P4","KA32","09-21-2014",7.87,29.87,35.34,25.66,58856.82,7.46,123.8,39.18,
"SEP102014","CELL","P5","KA32","09-21-2014",7.89,28.91,34.52,24.63,58661.1,7.41,121.03,39.06,
"SEP102014","CELL","P6","KA32","09-21-2014",7.89,28.88,34.56,24.7,59694.6,7.54,123.73,39.85,
"SEP102014","CELL","P1","KA32","09-22-2014",7.89,27.34,31.79,24.54,56734.75,7.14,112.33,37.68,
"SEP102014","CELL","P2","KA32","09-22-2014",7.88,27.33,31.82,24.48,56384.94,7.49,117.62,37.41,
"SEP102014","CELL","P3","KA32","09-22-2014",7.86,27.33,31.84,24.37,56275.23,6.48,101.7,37.33,456.45
"SEP102014","CELL","P4","KA32","09-22-2014",7.88,28.65,33.4,25.35,57012.02,7.03,113.16,37.84,
"SEP102014","CELL","P5","KA32","09-22-2014",7.89,27.95,33.19,24.4,56788.57,7.01,111.41,37.7,
"SEP102014","CELL","P6","KA32","09-22-2014",7.89,27.76,32.74,24.58,57865.01,6.97,110.9,38.51,
"SEP102014","CELL","P1","KA32","09-23-2014",7.85,26.63,31.92,22.8,50679.84,7.23,109.74,33.33,
"SEP102014","CELL","P2","KA32","09-23-2014",7.86,26.64,32.01,22.92,51327.47,7.73,117.64,33.76,
"SEP102014","CELL","P3","KA32","09-23-2014",7.5,26.68,32.23,22.88,53892.45,3.05,46.22,35.65,516.53
"SEP102014","CELL","P4","KA32","09-23-2014",7.84,27.95,33.52,23.92,54446.72,6.63,104.42,36.05,
"SEP102014","CELL","P5","KA32","09-23-2014",7.8,27.35,33.33,22.96,52134.07,5.65,86.83,34.34,
"SEP102014","CELL","P6","KA32","09-23-2014",7.91,27.36,33.23,23.08,55550.78,7.33,115.33,36.86,
"SEP102014","CELL","P1","KA32","09-24-2014",7.69,26.52,31.28,22.6,54596.41,6.63,103,36.09,
"SEP102014","CELL","P2","KA32","09-24-2014",7.83,26.4,31.21,22.49,53773.61,8.04,123.99,35.53,
"SEP102014","CELL","P3","KA32","09-24-2014",7.49,26.53,31.46,22.51,54675.35,4.31,66.96,36.15,559.44
"SEP102014","CELL","P4","KA32","09-24-2014",7.71,27.78,32.98,23.59,53545.84,7.04,111.01,35.39,
"SEP102014","CELL","P5","KA32","09-24-2014",7.54,27.4,33.26,22.81,54180.4,5.23,82.41,35.75,
"SEP102014","CELL","P6","KA32","09-24-2014",7.82,27.07,32.48,22.98,55749.55,8.59,134.91,36.95,
"SEP102014","CELL","P1","KA32","09-25-2014",7.65,26.19,28.58,24.32,54750.35,6.1,93.2,36.22,
"SEP102014","CELL","P2","KA32","09-25-2014",7.74,26.23,28.83,24.27,54258.04,6.97,106.23,35.85,
"SEP102014","CELL","P3","KA32","09-25-2014",7.69,26.32,29.17,24.24,54495.29,5.8,88.42,36.03,324.18
"SEP102014","CELL","P4","KA32","09-25-2014",7.72,27.62,30.41,25.49,54566.41,6.59,103.11,36.04,
"SEP102014","CELL","P5","KA32","09-25-2014",7.61,26.81,29.37,24.68,54348.77,5.46,83.98,35.91,
"SEP102014","CELL","P6","KA32","09-25-2014",7.75,26.45,28.69,24.58,55253.11,7.93,121.87,36.59,
"SEP102014","CELL","P1","KA32","09-26-2014",7.63,26.72,30.63,23.78,54092.87,7.11,109.9,35.71,
"SEP102014","CELL","P2","KA32","09-26-2014",7.65,26.72,30.65,23.7,53222.1,6.93,106.61,35.07,
"SEP102014","CELL","P3","KA32","09-26-2014",7.68,26.61,30.55,23.55,53419.28,6.82,104.44,35.22,342.2
"SEP102014","CELL","P4","KA32","09-26-2014",7.81,27.59,31.81,24.54,54051.07,6.42,99.78,35.66,
"SEP102014","CELL","P5","KA32","09-26-2014",7.67,26.68,30.81,23.63,53982.38,5.41,82.53,35.63,
"SEP102014","CELL","P6","KA32","09-26-2014",7.83,26.55,30.65,23.6,54592.03,8.5,130.61,36.09,
"SEP102014","CELL","P1","KA32","09-27-2014",7.72,26.36,30.39,23.7,54821.08,8.46,130.62,36.27,
"SEP102014","CELL","P2","KA32","09-27-2014",7.65,26.38,30.43,23.64,53890.39,6.2,94.79,35.57,
"SEP102014","CELL","P3","KA32","09-27-2014",7.73,26.16,30.08,23.5,53848.57,7.82,119.44,35.55,342.55
"SEP102014","CELL","P4","KA32","09-27-2014",7.77,27.54,31.73,24.66,54972.87,5.54,86.57,36.35,
"SEP102014","CELL","P5","KA32","09-27-2014",7.78,26.62,30.94,23.81,54767.51,5.94,90.98,36.22,
"SEP102014","CELL","P6","KA32","09-27-2014",7.73,26.42,30.76,23.81,55239.75,6.47,99.48,36.58,
"SEP102014","CELL","P1","KA32","09-28-2014",7.75,25.81,29.6,23.78,55937.23,8.14,124.97,37.12,
"SEP102014","CELL","P2","KA32","09-28-2014",7.65,25.88,29.68,23.76,54546.44,6.06,92.11,36.08,
"SEP102014","CELL","P3","KA32","09-28-2014",7.74,25.77,29.43,23.63,54760.94,8.02,122.26,36.24,279.78
"SEP102014","CELL","P4","KA32","09-28-2014",7.82,26.99,30.96,24.7,55973.9,6.32,98.47,37.11,
"SEP102014","CELL","P5","KA32","09-28-2014",7.81,26.08,29.78,23.84,55539.49,6.35,96.97,36.81,
"SEP102014","CELL","P6","KA32","09-28-2014",7.52,26.01,29.89,23.86,56305.06,3.87,59.09,37.39,
"SEP102014","CELL","P1","KA32","09-29-2014",7.72,26.98,31.01,23.56,54900.8,8.33,130.06,36.31,
"SEP102014","CELL","P2","KA32","09-29-2014",7.68,26.99,31.09,23.58,53645.85,7.54,117,35.38,
"SEP102014","CELL","P3","KA32","09-29-2014",7.72,26.88,31.19,23.47,53990.87,8.36,129.94,35.63,534.57
"SEP102014","CELL","P4","KA32","09-29-2014",7.81,28.18,32.96,24.57,55205.33,7.12,113.13,36.5,
"SEP102014","CELL","P5","KA32","09-29-2014",7.8,27.44,33.22,23.68,54437.86,6.66,104.02,35.95,
"SEP102014","CELL","P6","KA32","09-29-2014",7.68,27.28,32.82,23.71,55915.67,4.78,74.62,37.05,
"SEP102014","CELL","P1","KA32","09-30-2014",7.75,26.28,30.83,22.58,54473.13,8.98,138.68,36.01,
"SEP102014","CELL","P2","KA32","09-30-2014",7.73,26.33,30.91,22.47,53408.55,8.75,134.51,35.21,
"SEP102014","CELL","P3","KA32","09-30-2014",7.73,26.26,30.9,22.28,53594.69,9.15,140.78,35.35,552.09
"SEP102014","CELL","P4","KA32","09-30-2014",7.79,28.02,32.98,23.88,54667.93,6.25,98.52,36.1,
"SEP102014","CELL","P5","KA32","09-30-2014",5.35,29.15,43.62,22.89,23557.78,6.56,92.66,15.36,
"SEP102014","CELL","P6","KA32","09-30-2014",7.77,26.98,32.56,22.91,55210.83,6.78,105.98,36.53,
"SEP102014","CELL","P1","KA32","10-01-2014",7.72,26.31,31.09,22.93,54318.46,8.89,137.26,35.89,
"SEP102014","CELL","P2","KA32","10-01-2014",7.69,26.34,31.13,22.94,53105.7,8.68,133.31,34.99,
"SEP102014","CELL","P3","KA32","10-01-2014",7.69,26.35,31.08,22.81,53460.52,8.83,136,35.25,465.73
"SEP102014","CELL","P4","KA32","10-01-2014",7.7,27.53,31.63,24.16,51936.82,5.21,80.21,34.24,
"SEP102014","CELL","P5","KA32","10-01-2014",3.74,29.42,40.29,25.22,2553.9,7.71,101.4,1.31,
"SEP102014","CELL","P6","KA32","10-01-2014",7.65,26.66,31.16,23.11,52557.96,6.03,91.51,34.68,
"SEP102014","CELL","P1","KA32","10-02-2014",7.75,26.26,30.35,22.77,52778.95,8.69,132.67,34.75,
"SEP102014","CELL","P2","KA32","10-02-2014",7.72,26.25,30.35,22.73,51656.34,8.71,132.26,33.92,
"SEP102014","CELL","P3","KA32","10-02-2014",7.73,26.15,30.15,22.67,51917.02,8.68,131.59,34.12,410.73
"SEP102014","CELL","P4","KA32","10-02-2014",8.17,27.25,31.32,23.82,54507.58,5.98,92.12,36.01,
"SEP102014","CELL","P5","KA32","10-02-2014",3.75,29.07,36.98,24.31,2569.96,7.69,100.51,1.32,
"SEP102014","CELL","P6","KA32","10-02-2014",7.99,26.24,29.94,23.01,54469.85,6.46,97.87,36.01,
"SEP102014","CELL","P1","KA32","10-03-2014",7.77,26.39,30.84,22.14,52840.39,8.86,136.12,34.79,
"SEP102014","CELL","P2","KA32","10-03-2014",7.74,26.38,30.89,22.12,51661.02,8.8,134.47,33.92,
"SEP102014","CELL","P3","KA32","10-03-2014",7.74,26.34,30.95,22.01,51440.63,8.75,133.33,33.76,493.07
"SEP102014","CELL","P4","KA32","10-03-2014",8.9,27.4,32.1,22.98,54973.14,7.52,117.28,36.35,
"SEP102014","CELL","P5","KA32","10-03-2014",3.77,29.88,41.06,25.03,2596.81,7.64,101.35,1.33,
"SEP102014","CELL","P6","KA32","10-03-2014",8.77,26.66,31.62,22.14,54745.29,8.36,128.57,36.2,
"SEP102014","CELL","P1","KA32","10-04-2014",7.77,27.54,32.7,23.75,54395.02,8.28,130.18,35.91,
"SEP102014","CELL","P2","KA32","10-04-2014",7.74,27.54,32.76,23.74,53354.34,8.76,137.3,35.14,
"SEP102014","CELL","P3","KA32","10-04-2014",7.75,27.37,32.61,23.66,52594.09,8.28,128.71,34.58,527.53
"SEP102014","CELL","P4","KA32","10-04-2014",9.15,28.97,34.41,24.91,55917.78,5.86,93.77,37,
"SEP102014","CELL","P5","KA32","10-04-2014",3.8,30.72,44.75,24.82,2615.32,7.76,104.27,1.34,
"SEP102014","CELL","P6","KA32","10-04-2014",9.33,27.88,33.06,24.2,55545.95,6.63,104.28,36.76,
"SEP102014","CELL","P1","KA32","10-05-2014",7.8,27.86,33.28,23.9,56110.26,7.99,127.35,37.18,
"SEP102014","CELL","P2","KA32","10-05-2014",7.77,27.85,33.26,23.92,55250.22,8.76,139.23,36.54,
"SEP102014","CELL","P3","KA32","10-05-2014",7.76,27.54,32.79,23.8,54038.24,8.1,127.12,35.65,519.87
"SEP102014","CELL","P4","KA32","10-05-2014",8.58,29.26,34.88,24.85,57556.7,5.72,92.36,38.22,
"SEP102014","CELL","P5","KA32","10-05-2014",3.82,30.42,43.79,25.06,2654.97,7.97,106.61,1.36,
"SEP102014","CELL","P6","KA32","10-05-2014",8.97,27.78,32.7,24,57058.46,6.58,103.69,37.9,
"SEP102014","CELL","P1","KA32","10-06-2014",7.73,28.42,33.85,23.82,53529.87,7.68,122.77,35.24,
"SEP102014","CELL","P2","KA32","10-06-2014",7.72,28.34,33.88,23.87,53295.11,8.44,134.65,35.07,
"SEP102014","CELL","P3","KA32","10-06-2014",7.7,28.13,33.64,23.83,52214.65,8.33,131.98,34.28,537.51
"SEP102014","CELL","P4","KA32","10-06-2014",7.8,29.13,35.12,24.61,55877.2,7.47,121.17,36.97,
"SEP102014","CELL","P5","KA32","10-06-2014",6.71,27.99,33.85,23.63,40840.46,9.46,143.02,26.9,
"SEP102014","CELL","P6","KA32","10-06-2014",7.81,27.8,33.42,23.81,56351.89,8.51,135.26,37.36,
"SEP102014","CELL","P1","KA32","10-07-2014",7.73,27.56,32.66,23.91,49736.24,8.89,137.22,32.56,
"SEP102014","CELL","P2","KA32","10-07-2014",7.71,27.48,32.65,23.84,50451.02,8.44,130.04,33.05,
"SEP102014","CELL","P3","KA32","10-07-2014",7.7,27.26,32.46,23.68,50778.65,8.54,131.43,33.28,492.08
"SEP102014","CELL","P4","KA32","10-07-2014",7.71,28.84,34.26,24.84,51667.72,7.58,119.95,33.95,
"SEP102014","CELL","P5","KA32","10-07-2014",7.73,27.77,33.14,23.84,53324.61,8.01,125.04,35.18,
"SEP102014","CELL","P6","KA32","10-07-2014",7.74,27.66,32.91,23.92,55755.06,7.92,124.9,36.99,
"SEP102014","CELL","P1","KA32","10-08-2014",7.68,26.43,31.64,22.9,52588.37,9.65,148.16,34.6,
"SEP102014","CELL","P2","KA32","10-08-2014",7.63,26.4,31.73,22.88,52932.09,8.72,133.75,34.86,
"SEP102014","CELL","P3","KA32","10-08-2014",7.64,26.37,31.74,22.77,53001.2,8.62,132.28,34.91,438.69
"SEP102014","CELL","P4","KA32","10-08-2014",7.66,27.92,33.29,23.91,54621.13,8.12,128.62,36.07,
"SEP102014","CELL","P5","KA32","10-08-2014",7.64,27.41,32.89,22.97,54978.48,7.86,123.42,36.36,
"SEP102014","CELL","P6","KA32","10-08-2014",7.66,27.27,32.97,23.18,56880.41,8.31,131.64,37.78,
"SEP102014","CELL","P1","KA32","10-09-2014",7.63,25.94,30.33,22.24,52852.23,9.44,143.15,34.81,
"SEP102014","CELL","P2","KA32","10-09-2014",7.65,25.95,30.43,22.17,53150.95,8.84,134.17,35.03,
"SEP102014","CELL","P3","KA32","10-09-2014",7.58,25.83,30.45,22.05,53222.72,8.49,128.91,35.09,508.69
"SEP102014","CELL","P4","KA32","10-09-2014",7.59,27.26,32.12,23.26,54466.99,7.76,121.08,35.97,
"SEP102014","CELL","P5","KA32","10-09-2014",7.67,26.31,31.36,22.32,54991.17,8.2,126.14,36.39,
"SEP102014","CELL","P6","KA32","10-09-2014",7.58,26.12,30.91,22.42,55554.52,8.25,127.11,36.82,
"SEP102014","CELL","P1","KA32","10-10-2014",7.68,25.91,30.96,22.41,53360.79,9.41,143.83,35.19,
"SEP102014","CELL","P2","KA32","10-10-2014",7.62,25.88,30.94,22.34,53621.47,8.5,129.93,35.38,
"SEP102014","CELL","P3","KA32","10-10-2014",7.58,25.76,30.9,22.21,53467.05,8.43,128.56,35.27,448.32
"SEP102014","CELL","P4","KA32","10-10-2014",7.71,26.57,31.96,23.35,54799.65,7.79,120.53,36.24,
"SEP102014","CELL","P5","KA32","10-10-2014",7.73,25.74,31.46,22.32,55266.44,8.17,125.15,36.61,
"SEP102014","CELL","P6","KA32","10-10-2014",7.69,25.73,31.58,22.46,56133.6,8.41,129.21,37.26,
"SEP102014","CELL","P1","KA32","10-11-2014",7.69,25.24,30.02,22,54872.31,9.6,145.68,36.33,
"SEP102014","CELL","P2","KA32","10-11-2014",7.68,25.22,29.91,22.01,55145.51,8.62,130.82,36.54,
"SEP102014","CELL","P3","KA32","10-11-2014",7.6,25.16,29.91,21.91,54721.38,8.38,126.92,36.22,440.39
"SEP102014","CELL","P4","KA32","10-11-2014",7.72,26.43,31.77,22.9,56202.39,7.47,116.2,37.29,
"SEP102014","CELL","P5","KA32","10-11-2014",7.72,25.83,31.75,21.94,56477.44,8.05,124.43,37.51,
"SEP102014","CELL","P6","KA32","10-11-2014",7.71,25.68,31.27,22.09,57681.64,8.25,127.86,38.42,
"SEP102014","CELL","P1","KA32","10-12-2014",7.69,25.98,31.81,22.15,56614.93,9.54,148.09,37.61,
"SEP102014","CELL","P2","KA32","10-12-2014",7.72,26.01,31.8,22.15,56877.85,8.55,132.61,37.81,
"SEP102014","CELL","P3","KA32","10-12-2014",7.56,26.09,31.91,22.07,56147.21,5.53,84.61,37.26,521.51
"SEP102014","CELL","P4","KA32","10-12-2014",7.74,27.35,33.41,23.02,57969.01,7.39,117.69,38.59,
"SEP102014","CELL","P5","KA32","10-12-2014",7.76,26.56,32.5,22.11,57977.8,8.28,130.29,38.62,
"SEP102014","CELL","P6","KA32","10-12-2014",7.7,26.43,32.67,22.22,59341.01,7.6,119.96,39.65,
"SEP102014","CELL","P1","KA32","10-13-2014",7.62,24.97,30.04,22.13,54761.96,7.72,116.51,36.26,
"SEP102014","CELL","P2","KA32","10-13-2014",7.64,24.98,29.96,22.14,55068.71,6.98,105.41,36.49,
"SEP102014","CELL","P3","KA32","10-13-2014",5.02,26.01,35.3,22.2,22116.08,6.14,80.43,14.49,342.81
"SEP102014","CELL","P4","KA32","10-13-2014",7.71,26.02,31.31,23.12,56110.45,6.27,96.52,37.24,
"SEP102014","CELL","P5","KA32","10-13-2014",7.75,25.24,31.05,22.13,56159.82,6.88,104.53,37.3,
"SEP102014","CELL","P6","KA32","10-13-2014",7.46,25.21,30.7,22.31,56533.51,4.09,62.05,37.59,
"SEP102014","CELL","P1","KA32","10-14-2014",7.63,24.81,30.24,19.98,54591.42,9.29,139.94,36.12,
"SEP102014","CELL","P2","KA32","10-14-2014",7.66,24.79,30.19,19.97,54584.82,8.15,122.13,36.12,
"SEP102014","CELL","P3","KA32","10-14-2014",3.75,28.68,44.27,21.71,2408.19,7.52,97.13,1.23,495.78
"SEP102014","CELL","P4","KA32","10-14-2014",7.67,26.13,32.05,20.86,54679.89,6.87,105.4,36.15,
"SEP102014","CELL","P5","KA32","10-14-2014",7.69,25.29,31.51,19.9,54675.83,6.5,98.39,36.17,
"SEP102014","CELL","P6","KA32","10-14-2014",7.56,25.25,31.29,20.15,55779.69,5.13,77.95,36.99,
"SEP102014","CELL","P1","KA32","10-15-2014",7.62,26.43,31.16,23.25,55010.32,8.65,134.12,36.4,
"SEP102014","CELL","P2","KA32","10-15-2014",7.66,26.4,31.04,23.28,55385.39,7.45,115.38,36.69,
"SEP102014","CELL","P3","KA32","10-15-2014",3.77,28.86,38.72,25.28,2442.69,7.53,98.19,1.25,416.09
"SEP102014","CELL","P4","KA32","10-15-2014",7.57,27.82,32.88,24.05,54766.97,6.22,98.78,36.18,
"SEP102014","CELL","P5","KA32","10-15-2014",8.08,28.66,38.03,23.06,20566.15,4.01,56.12,13.44,
"SEP102014","CELL","P6","KA32","10-15-2014",8.07,28.79,38.1,23.28,21184.96,3.99,56.02,13.9,
"SEP102014","CELL","P1","KA32","10-16-2014",7.61,25.81,30.71,21.7,54843.99,8.23,125.97,36.29,
"SEP102014","CELL","P2","KA32","10-16-2014",7.68,25.77,30.71,21.66,56147.17,7.89,121.24,37.27,
"SEP102014","CELL","P3","KA32","10-16-2014",3.8,29.17,39.02,23.91,2479.42,7.7,100.92,1.27,467.28
"SEP102014","CELL","P4","KA32","10-16-2014",7.58,27.14,32.22,22.68,54801.91,6.34,98.85,36.22,
"SEP102014","CELL","P5","KA32","10-16-2014",7.74,28.91,38.33,23.07,1935.5,2.12,27.46,0.98,
"SEP102014","CELL","P6","KA32","10-16-2014",7.71,28.99,38.38,23.17,1946.92,2.05,26.75,0.98,
"SEP102014","CELL","P1","KA32","10-17-2014",7.28,23.82,25.28,22.78,55068.2,4.07,59.27,36.52,
"SEP102014","CELL","P2","KA32","10-17-2014",7.51,23.78,25.3,22.74,56733.83,5.16,75.74,37.76,
"SEP102014","CELL","P3","KA32","10-17-2014",3.77,25.86,27.34,24.9,2485.58,8.03,99.47,1.28,58.45
"SEP102014","CELL","P4","KA32","10-17-2014",7.26,24.99,26.64,23.82,55121,3.7,55.1,36.53,
"SEP102014","CELL","P5","KA32","10-17-2014",7.32,25.26,26.84,24.33,2001.96,2.1,25.67,1.02,
"SEP102014","CELL","P6","KA32","10-17-2014",7.34,25.37,27.01,24.39,2012.54,2.02,24.77,1.02,
"OCT222014","CELL","P1","LRB-AZ-1201","10-23-2014",8.09,27.52,31.45,23.89,2470.77,8.47,108.12,1.27,
"OCT222014","CELL","P2","LRB-AZ-1201","10-23-2014",8.12,27.69,31.55,23.99,3113.58,8.55,109.65,1.62,
"OCT222014","CELL","P3","LRB-AZ-1201","10-23-2014",8.1,27.86,31.29,24.09,3447.43,8.35,107.53,1.8,
"OCT222014","CELL","P4","LRB-AZ-1201","10-23-2014",8.12,29.23,32.76,24.97,3190.03,8.01,105.85,1.65,
"OCT222014","CELL","P5","LRB-AZ-1201","10-23-2014",6.93,28.53,32.2,23.89,3178.63,7.76,101.3,1.65,
"OCT222014","CELL","P6","LRB-AZ-1201","10-23-2014",7.61,28.03,31.68,23.86,3257.49,7.81,101.06,1.69,
"OCT222014","CELL","P1","LRB-AZ-1201","10-24-2014",7.95,25.58,30.89,21.76,2539.2,11.21,139.45,1.31,
"OCT222014","CELL","P2","LRB-AZ-1201","10-24-2014",7.92,25.58,30.95,21.79,3201.25,11.11,138.48,1.67,
"OCT222014","CELL","P3","LRB-AZ-1201","10-24-2014",7.93,25.53,30.9,21.76,3587.17,11.04,137.45,1.88,
